Topic,Count,Macro,Name,TopWords,Representation
0,1175,Clinical Therapy,therapy · eradication · treatment,therapy; eradication; treatment; triple; sequential; regimens; rate; firstline; rates; regimen,"['therapy', 'eradication', 'treatment', 'triple', 'sequential', 'regimens', 'rate', 'firstline', 'rates', 'regimen']"
1,979,Basic Mechanisms,activity · against · compounds,activity; against; compounds; extract; extracts; antibacterial; mic; gml; inhibitory; vitro,"['activity', 'against', 'compounds', 'extract', 'extracts', 'antibacterial', 'mic', 'gml', 'inhibitory', 'vitro']"
2,837,Oncology & Pathology,lymphoma · malt · lymphomas,lymphoma; malt; lymphomas; lymphoid; mucosaassociated; tissue; bcell; remission; marginal; extranodal,"['lymphoma', 'malt', 'lymphomas', 'lymphoid', 'mucosaassociated', 'tissue', 'bcell', 'remission', 'marginal', 'extranodal']"
3,784,Oncology & Pathology,cancer · expression · tumor,gc; cancer; expression; tumor; gastric; cells; cell; progression; in; tissues,"['gc', 'cancer', 'expression', 'tumor', 'gastric', 'cells', 'cell', 'progression', 'in', 'tissues']"
4,539,Epidemiology & Public Health,children · infection · prevalence,children; infection; prevalence; age; years; pylori; childhood; in; pediatric; was,"['children', 'infection', 'prevalence', 'age', 'years', 'pylori', 'childhood', 'in', 'pediatric', 'was']"
5,544,Epidemiology & Public Health,prevalence · infection · age,prevalence; infection; age; among; pylori; seroprevalence; population; years; in; participants,"['prevalence', 'infection', 'age', 'among', 'pylori', 'seroprevalence', 'population', 'years', 'in', 'participants']"
6,552,Basic Mechanisms,caga · vaca · strains,caga; vaca; strains; genotypes; epiya; gene; isolates; virulence; motifs; baba2,"['caga', 'vaca', 'strains', 'genotypes', 'epiya', 'gene', 'isolates', 'virulence', 'motifs', 'baba2']"
7,519,Basic Mechanisms,vaccine · vaccines · mice,vaccine; vaccines; mice; against; recombinant; immunization; vaccination; protection; immune; adjuvant,"['vaccine', 'vaccines', 'mice', 'against', 'recombinant', 'immunization', 'vaccination', 'protection', 'immune', 'adjuvant']"
8,429,Basic Mechanisms,drug · nanoparticles · curcumin,drug; nanoparticles; curcumin; release; delivery; chitosan; floating; microspheres; prepared; mucoadhesive,"['drug', 'nanoparticles', 'curcumin', 'release', 'delivery', 'chitosan', 'floating', 'microspheres', 'prepared', 'mucoadhesive']"
9,572,Clinical Therapy,resistance · antibiotic · metronidazole,resistance; antibiotic; metronidazole; clarithromycin; levofloxacin; tetracycline; isolates; susceptibility; strains; amoxicillin,"['resistance', 'antibiotic', 'metronidazole', 'clarithromycin', 'levofloxacin', 'tetracycline', 'isolates', 'susceptibility', 'strains', 'amoxicillin']"
10,434,Clinical Therapy,ulcer · peptic · ulcers,ulcer; peptic; ulcers; duodenal; bleeding; patients; healing; nsaid; eradication; nsaids,"['ulcer', 'peptic', 'ulcers', 'duodenal', 'bleeding', 'patients', 'healing', 'nsaid', 'eradication', 'nsaids']"
11,484,Oncology & Pathology,cancer · incidence · risk,cancer; incidence; risk; gastric; mortality; gc; factors; intake; prevention; dietary,"['cancer', 'incidence', 'risk', 'gastric', 'mortality', 'gc', 'factors', 'intake', 'prevention', 'dietary']"
12,525,Oncology & Pathology,gastritis · atrophy · chronic,gastritis; atrophy; chronic; gastric; mucosa; atrophic; corpus; patients; with; in,"['gastritis', 'atrophy', 'chronic', 'gastric', 'mucosa', 'atrophic', 'corpus', 'patients', 'with', 'in']"
13,380,Clinical Therapy,resistance · clarithromycin · mutations,resistance; clarithromycin; mutations; 23s; mutation; rrna; a2143g; strains; point; isolates,"['resistance', 'clarithromycin', 'mutations', '23s', 'mutation', 'rrna', 'a2143g', 'strains', 'point', 'isolates']"
